Timestamp,UV_ADC,UV_V,V_mWcm2,Temp_C,Hum_pct,Lux,Soil_pct
2025-05-10 12:05:58,1341,1.081,0.75,21.9,99.9,54612.5,100
2025-05-10 13:02:34,1365,1.100,0.91,21.0,99.9,54030.0,100
2025-05-10 13:17:27,1359,1.095,0.87,20.9,99.9,48363.3,100
2025-05-10 13:32:20,1375,1.108,0.98,21.4,99.9,46226.7,100
2025-05-10 13:47:12,1389,1.119,1.07,21.4,99.9,41997.5,100
2025-05-10 14:02:04,1395,1.124,1.11,21.4,99.9,38604.2,100
2025-05-10 14:16:58,1400,1.128,1.15,21.6,99.9,35425.8,100
2025-05-10 14:31:51,1388,1.119,1.07,22.0,99.9,33510.0,100
2025-05-10 14:46:44,1382,1.114,1.03,22.2,99.9,31600.8,100
2025-05-10 15:01:37,1290,1.040,0.41,22.2,99.9,25211.7,100
2025-05-10 15:16:29,1300,1.048,0.48,22.1,99.9,22650.8,100
2025-05-10 15:31:22,1270,1.023,0.28,21.4,99.9,21275.8,100
2025-05-10 15:46:14,1235,0.995,0.04,21.5,99.9,16905.0,100
2025-05-10 16:01:07,1205,0.971,0.00,21.6,99.9,13990.8,100
2025-05-10 16:16:00,1174,0.946,0.00,21.1,99.9,11090.0,100
2025-05-10 16:30:53,1159,0.934,0.00,21.4,99.9,8726.7,100
2025-05-10 16:45:45,1109,0.894,0.00,21.7,99.9,5943.3,100
2025-05-10 17:00:35,1099,0.886,0.00,21.2,99.9,4796.7,100
2025-05-10 17:15:26,1073,0.865,0.00,20.0,99.9,3124.2,100
2025-05-10 17:30:18,1053,0.849,0.00,19.1,99.9,1635.8,100
2025-05-10 17:45:08,1047,0.844,0.00,18.3,99.9,521.7,100
2025-05-10 18:00:00,1034,0.833,0.00,16.8,99.9,46.7,100
2025-05-10 18:14:51,1031,0.831,0.00,15.9,99.9,0.8,100
2025-05-10 18:29:44,1039,0.837,0.00,15.5,99.9,0.0,100
2025-05-10 18:44:37,1030,0.830,0.00,15.2,99.9,0.0,100
2025-05-10 18:59:30,1034,0.833,0.00,15.2,99.9,0.0,100
2025-05-10 19:14:22,1055,0.850,0.00,15.1,99.9,0.0,100
2025-05-10 19:29:16,1039,0.837,0.00,15.0,99.9,0.0,100
2025-05-10 19:44:08,1038,0.836,0.00,15.0,99.9,0.0,100
2025-05-10 19:59:02,1033,0.832,0.00,15.0,99.9,0.0,100
2025-05-10 20:13:55,1028,0.828,0.00,15.1,99.9,0.0,100
2025-05-10 20:28:47,1039,0.837,0.00,15.1,99.9,0.0,100
2025-05-10 20:43:40,1038,0.836,0.00,15.0,99.9,0.0,100
2025-05-10 20:58:33,1040,0.838,0.00,15.1,99.9,0.0,100
2025-05-10 21:13:26,1067,0.860,0.00,15.6,99.9,0.0,100
2025-05-10 21:28:19,1011,0.815,0.00,16.2,99.9,0.0,100
2025-05-10 21:43:12,1053,0.849,0.00,15.9,99.9,0.0,100
2025-05-10 21:58:05,1037,0.836,0.00,15.4,99.9,0.0,100
2025-05-10 22:12:57,1033,0.832,0.00,15.8,99.9,0.0,100
2025-05-10 22:27:51,1049,0.845,0.00,15.7,99.9,0.0,100
2025-05-10 22:42:44,1035,0.834,0.00,16.0,99.9,0.0,100
2025-05-10 22:57:37,1017,0.820,0.00,16.3,99.9,0.0,100
2025-05-10 23:12:31,1031,0.831,0.00,16.7,99.9,0.0,100
2025-05-10 23:27:24,1041,0.839,0.00,17.0,99.9,0.0,100
2025-05-10 23:42:17,1045,0.842,0.00,17.4,99.9,0.0,100
2025-05-10 23:57:09,1038,0.836,0.00,17.5,99.9,0.0,100
2025-05-11 00:12:02,1032,0.832,0.00,16.7,99.9,0.0,100
2025-05-11 00:26:53,1009,0.813,0.00,16.5,99.9,0.0,100
2025-05-11 00:41:46,1000,0.806,0.00,16.0,99.9,0.0,100
2025-05-11 00:56:39,1037,0.836,0.00,15.8,99.9,0.0,100
2025-05-11 01:11:32,1046,0.843,0.00,15.6,99.9,0.0,100
2025-05-11 01:26:25,1086,0.875,0.00,15.6,99.9,0.0,100
2025-05-11 01:41:18,1049,0.845,0.00,15.6,99.9,0.0,100
2025-05-11 01:56:11,1039,0.837,0.00,15.6,99.9,0.0,100
2025-05-11 02:11:03,1041,0.839,0.00,15.6,99.9,0.0,100
2025-05-11 02:25:56,1041,0.839,0.00,15.7,99.9,0.0,100
2025-05-11 02:40:50,1036,0.835,0.00,15.8,99.9,0.0,100
2025-05-11 02:55:42,1013,0.816,0.00,16.0,99.9,0.0,100
2025-05-11 03:10:35,1035,0.834,0.00,16.2,99.9,0.0,100
2025-05-11 03:25:27,1040,0.838,0.00,16.2,99.9,0.0,100
2025-05-11 03:40:20,1042,0.840,0.00,16.2,99.9,0.0,100
2025-05-11 03:55:13,1035,0.834,0.00,16.0,99.9,0.0,100
2025-05-11 04:10:06,1035,0.834,0.00,15.9,99.9,0.0,100
2025-05-11 04:24:58,1039,0.837,0.00,16.2,99.9,0.0,100
2025-05-11 04:39:51,1046,0.843,0.00,16.4,99.9,0.0,100
2025-05-11 04:54:44,1014,0.817,0.00,17.0,99.9,0.0,100
2025-05-11 05:09:36,1039,0.837,0.00,17.1,99.9,0.0,100
2025-05-11 05:24:28,1040,0.838,0.00,16.6,99.9,0.0,100
2025-05-11 05:39:21,1038,0.836,0.00,16.2,99.9,0.0,100
2025-05-11 05:54:13,1048,0.845,0.00,16.0,99.9,0.8,100
2025-05-11 06:09:06,1050,0.846,0.00,16.0,99.9,93.3,100
2025-05-11 06:23:59,1046,0.843,0.00,15.9,99.9,609.2,100
2025-05-11 06:38:53,1052,0.848,0.00,15.8,99.9,1950.0,100
2025-05-11 06:53:45,1064,0.857,0.00,16.0,99.9,5330.0,100
2025-05-11 07:08:38,1079,0.870,0.00,15.9,99.9,5986.7,100
2025-05-11 07:23:31,1078,0.869,0.00,16.8,99.9,6774.2,100
2025-05-11 07:38:24,1084,0.874,0.00,16.9,99.9,15195.0,100
2025-05-11 07:53:18,1090,0.878,0.00,17.6,99.9,19242.5,100
2025-05-11 08:08:13,1087,0.876,0.00,18.9,99.9,23105.0,100
2025-05-11 08:23:07,1110,0.895,0.00,20.5,99.9,28673.3,100
2025-05-11 10:26:03,1208,0.973,0.00,22.1,99.9,53492.5,100
2025-05-11 10:40:55,1157,0.932,0.00,22.0,99.9,22521.7,100
2025-05-11 10:55:49,1163,0.937,0.00,22.1,99.9,21560.0,100
2025-05-11 11:10:42,1197,0.965,0.00,22.2,99.9,23597.5,100
2025-05-11 11:25:35,1300,1.048,0.48,22.7,99.9,54612.5,100
2025-05-11 11:40:29,1343,1.082,0.76,22.8,99.9,54612.5,100
2025-05-11 11:55:22,1321,1.065,0.62,23.2,99.9,54612.5,100
2025-05-11 12:10:15,1337,1.077,0.72,22.7,99.9,54612.5,100
2025-05-11 12:25:08,1315,1.060,0.58,23.6,99.9,54612.5,100
2025-05-11 12:40:01,1344,1.083,0.77,23.6,99.9,54612.5,100
2025-05-11 12:54:54,1367,1.102,0.92,23.5,99.9,44744.2,100
2025-05-11 13:09:47,1381,1.113,1.02,23.8,99.9,54612.5,100
