Timestamp,UV_ADC,UV_V,V_mWcm2,Temp_C,Hum_pct,Lux,Soil_pct
2025-05-10 13:21:03,1470,1.185,1.61,22.9,70.4,-2.0,100
2025-05-10 13:21:12,1458,1.175,1.53,22.8,70.4,-2.0,100
2025-05-10 13:36:07,1474,1.188,1.64,22.8,70.5,-2.0,100
2025-05-10 13:51:02,1420,1.144,1.28,22.1,72.8,-2.0,100
2025-05-10 14:05:56,1440,1.160,1.41,22.5,71.3,-2.0,100
2025-05-10 14:20:51,1395,1.124,1.11,22.6,71.4,-2.0,100
2025-05-10 14:35:46,1376,1.109,0.99,23.2,68.9,-2.0,100
2025-05-10 14:50:39,1353,1.090,0.83,22.8,69.5,-2.0,100
2025-05-10 15:05:34,1334,1.075,0.70,21.9,73.0,-2.0,100
2025-05-10 15:20:28,1253,1.010,0.16,21.9,72.6,-2.0,100
2025-05-10 15:35:22,1297,1.045,0.46,20.9,75.2,-2.0,100
2025-05-10 15:50:16,1272,1.025,0.29,21.5,73.2,-2.0,100
2025-05-10 16:05:11,1248,1.006,0.13,21.2,74.9,-2.0,100
2025-05-10 16:20:05,1221,0.984,0.00,21.4,73.8,-2.0,100
2025-05-10 16:34:59,1179,0.950,0.00,21.5,74.0,-2.0,100
2025-05-10 16:49:53,1145,0.923,0.00,22.0,72.6,-2.0,100
2025-05-10 17:04:46,1112,0.896,0.00,21.2,73.1,-2.0,100
2025-05-10 17:19:39,1092,0.880,0.00,20.2,76.3,-2.0,100
2025-05-10 17:34:31,1089,0.878,0.00,18.8,81.2,-2.0,100
2025-05-10 17:49:23,1071,0.863,0.00,17.9,84.8,-2.0,100
2025-05-10 18:04:16,1065,0.858,0.00,16.6,91.0,-2.0,100
2025-05-10 18:19:10,1068,0.861,0.00,16.2,94.3,-2.0,100
2025-05-10 18:34:03,1056,0.851,0.00,15.9,96.8,-2.0,100
2025-05-10 18:48:57,1067,0.860,0.00,15.8,97.3,-2.0,100
2025-05-10 19:03:52,1070,0.862,0.00,15.7,98.7,-2.0,100
2025-05-10 19:18:46,1067,0.860,0.00,15.7,99.0,-2.0,100
2025-05-10 19:33:40,1069,0.861,0.00,15.7,99.9,-2.0,100
2025-05-10 19:48:33,1065,0.858,0.00,15.4,100.0,-2.0,100
2025-05-10 20:03:27,1070,0.862,0.00,15.4,100.0,-2.0,100
2025-05-10 20:18:21,1052,0.848,0.00,15.6,100.0,-2.0,100
2025-05-10 20:33:15,1073,0.865,0.00,15.3,100.0,-2.0,100
2025-05-10 20:48:09,1071,0.863,0.00,15.2,100.0,-2.0,100
2025-05-10 21:03:03,1061,0.855,0.00,15.4,100.0,-2.0,100
2025-05-10 21:17:57,1051,0.847,0.00,15.6,100.0,-2.0,100
2025-05-10 21:32:51,1062,0.856,0.00,15.7,100.0,-2.0,100
2025-05-10 21:47:44,1070,0.862,0.00,15.9,100.0,-2.0,100
2025-05-10 22:02:39,1071,0.863,0.00,15.5,100.0,-2.0,100
2025-05-10 22:17:33,1073,0.865,0.00,15.7,99.7,-2.0,100
2025-05-10 22:32:27,1051,0.847,0.00,15.6,100.0,-2.0,100
2025-05-10 22:47:21,1067,0.860,0.00,15.7,100.0,-2.0,100
2025-05-10 23:02:16,1067,0.860,0.00,15.8,99.3,-2.0,100
2025-05-10 23:17:10,1066,0.859,0.00,16.5,97.7,-2.0,100
2025-05-10 23:32:05,1069,0.861,0.00,16.8,95.9,-2.0,100
2025-05-10 23:46:59,1069,0.861,0.00,17.5,92.2,-2.0,100
2025-05-11 00:01:53,1069,0.861,0.00,17.2,91.3,-2.0,100
2025-05-11 00:16:47,1086,0.875,0.00,17.1,92.8,-2.0,100
2025-05-11 00:31:41,1068,0.861,0.00,16.0,95.3,-2.0,100
2025-05-11 00:46:35,1050,0.846,0.00,15.8,99.0,-2.0,100
2025-05-11 01:01:29,1064,0.857,0.00,15.9,99.1,-2.0,100
2025-05-11 01:16:23,1073,0.865,0.00,16.0,98.8,-2.0,100
2025-05-11 01:31:17,1072,0.864,0.00,16.1,97.9,-2.0,100
2025-05-11 01:46:11,1061,0.855,0.00,16.0,97.7,-2.0,100
2025-05-11 02:01:05,1065,0.858,0.00,16.3,96.8,-2.0,100
2025-05-11 02:16:00,1071,0.863,0.00,16.2,97.2,-2.0,100
2025-05-11 02:30:54,1074,0.865,0.00,16.0,97.7,-2.0,100
2025-05-11 02:45:48,1067,0.860,0.00,16.1,97.7,-2.0,100
2025-05-11 03:00:42,1071,0.863,0.00,16.2,96.7,-2.0,100
2025-05-11 03:15:36,1064,0.857,0.00,16.4,95.8,-2.0,100
2025-05-11 03:30:30,1070,0.862,0.00,16.4,96.0,-2.0,100
2025-05-11 03:45:24,1070,0.862,0.00,16.4,96.1,-2.0,100
2025-05-11 04:00:18,1074,0.865,0.00,16.2,96.6,-2.0,100
2025-05-11 04:15:13,1064,0.857,0.00,16.5,96.3,-2.0,100
2025-05-11 04:30:07,1075,0.866,0.00,16.6,95.7,-2.0,100
2025-05-11 04:45:01,1068,0.861,0.00,16.7,94.3,-2.0,100
2025-05-11 04:59:55,1063,0.857,0.00,17.0,92.9,-2.0,100
2025-05-11 05:14:49,1070,0.862,0.00,16.8,93.3,-2.0,100
2025-05-11 05:29:43,1068,0.861,0.00,16.3,95.6,-2.0,100
2025-05-11 05:44:38,1071,0.863,0.00,16.4,96.3,-2.0,100
2025-05-11 05:59:32,1078,0.869,0.00,16.4,96.4,-2.0,100
2025-05-11 06:14:27,1071,0.863,0.00,16.3,95.9,-2.0,100
2025-05-11 06:29:21,1075,0.866,0.00,16.3,96.6,-2.0,100
2025-05-11 06:44:15,1089,0.878,0.00,16.2,96.2,-2.0,100
2025-05-11 06:59:09,1106,0.891,0.00,16.4,97.1,-2.0,100
2025-05-11 07:14:04,1097,0.884,0.00,15.6,100.0,-2.0,100
2025-05-11 07:28:58,1110,0.895,0.00,15.9,98.0,-2.0,100
2025-05-11 07:43:52,1131,0.911,0.00,15.8,98.3,-2.0,100
2025-05-11 07:58:47,1124,0.906,0.00,16.3,98.6,-2.0,100
2025-05-11 08:13:44,1132,0.912,0.00,18.0,93.4,-2.0,100
2025-05-11 08:28:40,1135,0.915,0.00,19.7,84.6,-2.0,100
2025-05-11 08:43:35,1134,0.914,0.00,19.7,82.7,-2.0,100
2025-05-11 08:58:30,1150,0.927,0.00,19.4,85.1,-2.0,100
2025-05-11 09:13:25,1157,0.932,0.00,19.7,82.7,-2.0,100
2025-05-11 09:28:19,1168,0.941,0.00,19.6,83.3,-2.0,100
2025-05-11 09:43:13,1183,0.953,0.00,19.9,83.1,-2.0,100
2025-05-11 09:58:09,1203,0.969,0.00,20.8,79.7,-2.0,100
2025-05-11 10:13:05,1236,0.996,0.05,22.5,73.6,-2.0,100
2025-05-11 10:27:59,1257,1.013,0.19,22.7,71.8,-2.0,100
2025-05-11 10:42:54,1306,1.052,0.52,23.2,70.9,-2.0,100
2025-05-11 10:57:49,1300,1.048,0.48,23.2,70.1,-2.0,100
2025-05-11 11:12:43,1315,1.060,0.58,23.8,67.4,-2.0,100
2025-05-11 11:27:38,1362,1.098,0.89,23.8,67.9,-2.0,100
2025-05-11 11:42:33,1360,1.096,0.88,23.4,68.6,-2.0,100
