fecha_hora,tipo_reporte,estacion,metar
"2025-05-12 23:00,SA,SPJC,""METAR SPJC 122300Z 18007KT 7000 SCT008 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-12 22:00,SA,SPJC,""METAR SPJC 122200Z 18008KT 150V210 8000 SCT011 18/15 Q1011 NOSIG RMK TX20.5 PP000="""
"2025-05-12 21:00,SA,SPJC,""METAR SPJC 122100Z 18007KT 8000 SCT014 19/15 Q1011 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 20:00,SA,SPJC,""METAR SPJC 122000Z 19007KT 160V220 9999 SCT016 19/15 Q1011 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 19:00,SA,SPJC,""METAR SPJC 121900Z VRB03KT 9999 BKN017 20/16 Q1012 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 18:00,SA,SPJC,""METAR SPJC 121800Z 23004KT 170V290 9000 BKN015 19/15 Q1013 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 17:00,SA,SPJC,""METAR SPJC 121700Z 26006KT 8000 SCT010 OVC014 18/15 Q1013 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 16:00,SA,SPJC,""METAR SPJC 121600Z 26009KT 6000 OVC012 18/15 Q1014 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 15:00,SA,SPJC,""METAR SPJC 121500Z 27007KT 6000 BKN009 OVC014 18/15 Q1014 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 14:00,SA,SPJC,""METAR SPJC 121400Z 27006KT 240V300 7000 OVC010 18/15 Q1014 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 13:00,SA,SPJC,""METAR SPJC 121300Z 25003KT 230V290 7000 BKN009 BKN012 18/15 Q1014 BECMG FM1400 SCT008 RMK BIRD HAZARD RWY16 PP000="""
"2025-05-12 12:00,SA,SPJC,""METAR SPJC 121200Z 23004KT 9999 FEW006 OVC012 17/15 Q1013 NOSIG RMK TN17.1 FU QUAD N PP000="""
"2025-05-12 11:00,SA,SPJC,""METAR SPJC 121100Z 24004KT 9999 OVC012 17/15 Q1013 TEMPO BKN007 RMK PP000="""
"2025-05-12 10:00,SA,SPJC,""METAR SPJC 121000Z 20004KT 9999 BKN010 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-12 09:00,SA,SPJC,""METAR SPJC 120900Z 20005KT 8000 OVC010 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-12 08:00,SA,SPJC,""METAR SPJC 120800Z 16006KT 8000 SCT006 BKN013 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-12 07:00,SA,SPJC,""METAR SPJC 120700Z 18008KT 8000 SCT006 BKN015 17/15 Q1013 TEMPO OVC009 RMK PP000="""
"2025-05-12 06:00,SA,SPJC,""METAR SPJC 120600Z 18008KT 9999 FEW015 SCT025 18/15 Q1013 NOSIG RMK PP000="""
"2025-05-12 05:00,SA,SPJC,""METAR SPJC 120500Z 17006KT 9999 FEW030 18/16 Q1013 NOSIG RMK PP000="""
"2025-05-12 04:00,SA,SPJC,""METAR SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000="""
"2025-05-12 03:00,SA,SPJC,""METAR SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000="""
"2025-05-12 02:00,SA,SPJC,""METAR SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000="""
"2025-05-12 01:00,SA,SPJC,""METAR SPJC 120100Z 18006KT 9999 FEW005 BKN009 18/15 Q1013 BECMG SCT009 RMK PP000="""
"2025-05-12 00:00,SA,SPJC,""METAR SPJC 120000Z 19007KT 7000 OVC011 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 23:00,SA,SPJC,""METAR SPJC 112300Z 21005KT 7000 SCT006 BKN010 18/16 Q1011 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 22:00,SA,SPJC,""METAR SPJC 112200Z 30005KT 270V340 9999 SCT012 19/15 Q1011 NOSIG RMK TX19.6 BIRD HAZARD RWY16 PP000="""
"2025-05-11 21:00,SA,SPJC,""METAR SPJC 112100Z 27005KT 230V300 CAVOK 19/15 Q1010 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 20:00,SA,SPJC,""METAR SPJC 112000Z 28006KT 260V320 CAVOK 19/15 Q1010 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 19:00,SA,SPJC,""METAR SPJC 111900Z 28007KT 250V320 CAVOK 19/15 Q1011 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 18:00,SA,SPJC,""METAR SPJC 111800Z 29011KT 9999 SCT010 19/15 Q1011 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 17:00,SA,SPJC,""METAR SPJC 111700Z 30010KT 7000 SCT010 19/15 Q1012 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 16:00,SA,SPJC,""METAR SPJC 111600Z 29010KT 5000 BR FEW006 SCT010 18/15 Q1013 BECMG BKN015 RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 15:00,SA,SPJC,""METAR SPJC 111500Z 30007KT 5000 BR OVC008 18/15 Q1013 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 14:00,SA,SPJC,""METAR SPJC 111400Z 29005KT 260V320 5000 BR OVC008 17/15 Q1013 BECMG BKN015 RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 13:00,SA,SPJC,""METAR SPJC 111300Z 28004KT 240V310 5000 BR OVC008 17/15 Q1013 NOSIG RMK BIRD HAZARD RWY16 PP000="""
"2025-05-11 12:00,SA,SPJC,""METAR SPJC 111200Z 30005KT 3000 BR OVC006 17/15 Q1012 TEMPO 2000 OVC004 RMK TN16.7 PP000="""
"2025-05-11 11:00,SA,SPJC,""METAR SPJC 111100Z 28004KT 5000 BR OVC007 17/15 Q1011 TEMPO FM1200 2500 RMK PP000="""
"2025-05-11 10:00,SA,SPJC,""METAR SPJC 111000Z 30005KT 7000 OVC009 17/15 Q1011 BECMG FM1100 4000 BR RMK PP000="""
"2025-05-11 09:00,SA,SPJC,""METAR SPJC 110900Z 29005KT 8000 OVC009 17/15 Q1011 NOSIG RMK PP000="""
"2025-05-11 08:00,SA,SPJC,""METAR SPJC 110800Z 23002KT 9999 OVC010 17/15 Q1011 BECMG BKN008 RMK PP000="""
"2025-05-11 07:00,SA,SPJC,""METAR SPJC 110700Z 22002KT 9999 FEW007 OVC012 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 06:40,SP,SPJC,""SPECI SPJC 110640Z 21002KT 9999 BKN012 17/15 Q1012 BECMG SCT010="""
"2025-05-11 06:00,SA,SPJC,""METAR SPJC 110600Z 19003KT 9999 FEW020 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 05:00,SA,SPJC,""METAR SPJC 110500Z 19005KT 9999 FEW020 17/15 Q1013 NOSIG RMK PP000="""
"2025-05-11 04:00,SA,SPJC,""METAR SPJC 110400Z 17006KT 9999 FEW020 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 03:00,SA,SPJC,""METAR SPJC 110300Z 16009KT 9999 SCT025 18/15 Q1013 NOSIG RMK PP000="""
"2025-05-11 02:00,SA,SPJC,""METAR SPJC 110200Z 15009KT 9999 FEW007 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 01:00,SA,SPJC,""METAR SPJC 110100Z 15010KT 9999 FEW007 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-11 00:00,SA,SPJC,""METAR SPJC 110000Z 15011KT 9999 FEW007 18/15 Q1011 NOSIG RMK PP000="""
"2025-05-10 23:16,SP,SPJC,""SPECI SPJC 102316Z 16009KT 9999 FEW008 18/15 Q1011 NOSIG="""
"2025-05-10 23:00,SA,SPJC,""METAR SPJC 102300Z 18010KT 9999 BKN009 18/15 Q1011 NOSIG RMK BIRD HAZARD RWY 16 PP000="""
"2025-05-10 22:00,SA,SPJC,""METAR SPJC 102200Z 22006KT 9000 NSC 20/15 Q1010 NOSIG RMK TX20.4 BIRD HAZARD RWY 16 PP000="""
"2025-05-10 21:00,SA,SPJC,""METAR SPJC 102100Z VRB02KT 5000 HZ NSC 20/15 Q1010 NOSIG RMK BIRD HAZARD RWY 16 PP000="""
"2025-05-10 20:00,SA,SPJC,""METAR SPJC 102000Z 28006KT 240V320 4000 HZ FEW008 OVC012 19/15 Q1011 BECMG 6000 NSW RMK BIRD HAZARD RWY 16 PP000="""
"2025-05-10 19:00,SA,SPJC,""METAR SPJC 101900Z 28006KT 250V310 3000 BR FEW007 BKN010 19/15 Q1012 NOSIG RMK BIRD HAZARD RWY 16 PP000="""
"2025-05-10 18:00,SA,SPJC,""METAR SPJC 101800Z 28008KT 2500 BR SCT006 OVC009 18/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 17:00,SA,SPJC,""METAR SPJC 101700Z 27008KT 2500 BR SCT006 OVC008 18/15 Q1013 NOSIG RMK PP000="""
"2025-05-10 16:00,SA,SPJC,""METAR SPJC 101600Z 26006KT 230V290 2500 BR SCT005 OVC008 18/15 Q1013 NOSIG RMK BIRD HAZARD RWY 16 PP000="""
"2025-05-10 15:00,SA,SPJC,""METAR SPJC 101500Z 26006KT 2500 BR SCT005 OVC008 18/15 Q1013 BECMG 7000 NSW RMK PP000="""
"2025-05-10 14:00,SA,SPJC,""METAR SPJC 101400Z 25003KT 220V280 2500 BR SCT005 OVC008 17/15 Q1013 BECMG 7000 NSW RMK PP000="""
"2025-05-10 13:00,SA,SPJC,""METAR SPJC 101300Z 27003KT 3000 BR OVC007 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 12:00,SA,SPJC,""METAR SPJC 101200Z 24004KT 4000 BR OVC007 17/15 Q1012 NOSIG RMK TN16.4 PP000="""
"2025-05-10 11:00,SA,SPJC,""METAR SPJC 101100Z 26003KT 5000 BR OVC008 16/15 Q1011 TEMPO 4000 RMK PP000="""
"2025-05-10 10:00,SA,SPJC,""METAR SPJC 101000Z 26004KT 240V300 5000 BR OVC008 17/15 Q1010 NOSIG RMK PP000="""
"2025-05-10 09:00,SA,SPJC,""METAR SPJC 100900Z 28005KT 6000 OVC007 17/15 Q1011 NOSIG RMK PP000="""
"2025-05-10 08:00,SA,SPJC,""METAR SPJC 100800Z 26005KT 7000 OVC008 17/15 Q1011 NOSIG RMK PP000="""
"2025-05-10 07:00,SA,SPJC,""METAR SPJC 100700Z 27002KT 8000 OVC009 17/15 Q1011 NOSIG RMK PP000="""
"2025-05-10 06:00,SA,SPJC,""METAR SPJC 100600Z 21003KT 9999 OVC009 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 05:00,SA,SPJC,""METAR SPJC 100500Z 20006KT 9999 BKN010 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 04:00,SA,SPJC,""METAR SPJC 100400Z 20006KT 9999 FEW010 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 03:00,SA,SPJC,""METAR SPJC 100300Z 17004KT 9999 SCT010 17/15 Q1012 NOSIG RMK PP000="""
"2025-05-10 02:00,SA,SPJC,""METAR SPJC 100200Z 19005KT 9999 SCT013 17/15 Q1013 BECMG BKN012 RMK PP000="""
"2025-05-10 01:00,SA,SPJC,""METAR SPJC 100100Z 19006KT 9999 SCT015 18/15 Q1012 NOSIG RMK PP000="""
